tweet_id,retweet_count,favorite_count
892420643555336193,6954,33644
892177421306343426,5258,29180
891815181378084864,3462,21948
891689557279858688,7176,36721
891327558926688256,7705,35118
891087950875897856,2579,17723
890971913173991426,1643,10313
890729181411237888,15658,56569
890609185150312448,3597,24385
890240255349198849,6053,27805
890006608113172480,6100,26906
889880896479866881,4129,24441
889665388333682689,8287,41815
889638837579907072,3693,23546
889531135344209921,1872,13290
889278841981685760,4410,21988
888917238123831296,3735,25492
888804989199671297,3505,22350
888554962724278272,2856,17230
888078434458587136,2878,19070
887705289381826560,4511,26484
887517139158093824,9792,40521
887473957103951883,14933,59870
887343217045368832,8759,29441
887101392804085760,4962,26861
886983233522544640,6272,30185
886736880519319552,2608,10446
886680336477933568,3713,19632
886366144734445568,2611,18446
886267009285017600,4,105
886258384151887873,5237,24411
886054160059072513,93,0
885984800019947520,5580,28455
885528943205470208,5297,31426
885518971528720385,3093,17915
885311592912609280,15331,0
885167619883638784,3645,19153
884925521741709313,14919,66888
884876753390489601,4631,24263
884562892145688576,3889,21204
884441805382717440,4769,23754
884247878851493888,16789,62862
884162670584377345,2489,17857
883838122936631299,2847,19057
883482846933004288,8205,39984
883360690899218434,3059,19841
883117836046086144,5503,32319
882992080364220416,3224,20876
882762694511734784,4072,24639
882627270321602560,5032,24492
882268110199369728,9561,38980
882045870035918850,4059,25588
881906580714921986,2835,21342
881666595344535552,8899,44297
881633300179243008,8,113
881536004380872706,13324,43216
881268444196462592,4472,20400
880935762899988482,2323,14969
880872448815771648,3188,18616
880465832366813184,5179,24881
880221127280381952,3442,23541
880095782870896641,3632,24200
879862464715927552,2910,19611
879674319642796034,9,280
879492040517615616,2616,20603
879415818425184262,37182,92325
879376492567855104,2628,14773
879130579576475649,5702,0
879050749262655488,3928,19716
879008229531029506,2228,16689
878776093423087618,3413,17066
878604707211726852,5892,26306
878404777348136964,1067,0
878316110768087041,5491,0
878281511006478336,1067,6743
878057613040115712,5702,36951
877736472329191424,15701,68924
877556246731214848,3146,19797
877316821321428993,4314,24031
877201837425926144,4596,23763
876838120628539392,2791,18136
876537666061221889,3955,20964
876484053909872640,1987,16477
876120275196170240,3884,24566
875747767867523072,3561,21982
875144289856114688,4129,19334
875097192612077568,5087,24126
875021211251597312,3948,22448
874680097055178752,3899,24479
874434818259525634,12142,0
874296783580663808,3462,22845
874057562936811520,3363,20023
874012996292530176,8538,29982
873580283840344065,3331,21285
873337748698140672,1324,0
873213775632977920,1324,6295
872967104147763200,4539,23941
872820683541237760,3153,13015
872620804844003328,3054,18238
872486979161796608,7675,35922
872122724285648897,6791,30059
871879754684805121,9191,32900
871762521631449091,2948,17787
871515927908634625,2922,17816
871166179821445120,4871,0
871102520638267392,4643,18461
871032628920680449,3210,20062
870804317367881728,5257,29669
870726314365509632,3,105
870656317836468226,2189,10830
870374049280663552,22618,73598
870308999962521604,3527,19388
870063196459192321,7042,32254
869772420881756160,8649,37835
869702957897576449,5354,24925
869596645499047938,2621,14120
869227993411051520,3178,18052
868880397819494401,12178,57656
868639477480148993,1735,0
868622495443632128,4434,23525
868552278524837888,1735,8916
867900495410671616,3551,21488
867774946302451713,6221,30123
867421006826221569,2106,14273
867072653475098625,100,0
867051520902168576,6742,28566
866720684873056260,4107,17767
866686824827068416,2946,17029
866450705531457537,30003,108335
866334964761202691,12142,46357
866094527597207552,7125,0
865718153858494464,4803,22823
865359393868664832,4261,23469
865006731092295680,6623,24919
864873206498414592,7464,28688
864279568663928832,2564,13007
864197398364647424,7535,26493
863907417377173506,3569,18342
863553081350529029,3609,13609
863471782782697472,2079,0
863432100342583297,4535,21188
863427515083354112,80,1956
863079547188785154,946,7865
863062471531167744,2079,7487
862831371563274240,4432,17152
862722525377298433,3066,15257
862457590147678208,4223,18180
862096992088072192,19872,65936
861383897657036800,9213,32111
861288531465048066,3568,15280
861005113778896900,3314,14916
860981674716409858,1844,0
860924035999428608,674,0
860563773140209665,1844,6690
860524505164394496,4576,21157
860276583193509888,3051,16498
860184849394610176,5095,14937
860177593139703809,26556,0
859924526012018688,3563,17537
859851578198683649,3055,13919
859607811541651456,1357,16754
859196978902773760,26126,80132
859074603037188101,11904,30267
858860390427611136,7029,0
858843525470990336,3014,14064
858471635011153920,4233,19387
858107933456039936,2527,14162
857989990357356544,2253,14422
857746408056729600,9299,30646
857393404942143489,1435,5281
857263160327368704,3950,18177
857214891891077121,16,202
857062103051644929,145,0
857029823797047296,3468,16979
856543823941562368,2530,14770
856526610513747968,1645,10781
